rank,state,state_code,2020_census,percent_of_total
1.0,California,CA,39538223,0.1191
2.0,Texas,TX,29145505,0.0874
3.0,Florida,FL,21538187,0.0647
4.0,New York,NY,20201249,0.0586
5.0,Pennsylvania,PA,13002700,0.0386
6.0,Illinois,IL,12801989,0.0382
7.0,Ohio,OH,11799448,0.0352
8.0,Georgia,GA,10711908,0.032
9.0,North Carolina,NC,10439388,0.0316
10.0,Michigan,MI,10077331,0.0301
11.0,New Jersey,NJ,9288994,0.0268
12.0,Virginia,VA,8631393,0.0257
13.0,Washington,WA,7705281,0.0229
14.0,Arizona,AZ,7151502,0.0219
15.0,Massachusetts,MA,7029917,0.0209
16.0,Tennessee,TN,6910840,0.0206
17.0,Indiana,IN,6785528,0.0203
18.0,Maryland,MD,6177224,0.0185
19.0,Missouri,MO,6154913,0.0182
20.0,Wisconsin,WI,5893718,0.0175
21.0,Colorado,CO,5773714,0.0174
22.0,Minnesota,MN,5706494,0.017
23.0,South Carolina,SC,5118425,0.0155
24.0,Alabama,AL,5024279,0.0148
25.0,Louisiana,LA,4657757,0.014
26.0,Kentucky,KY,4505836,0.0135
27.0,Oregon,OR,4237256,0.0127
28.0,Oklahoma,OK,3959353,0.0119
29.0,Connecticut,CT,3605944,0.0107
30.0,Utah,UT,3205958,0.0097
31.0,Iowa,IA,3271616,0.0095
32.0,Nevada,NV,3104614,0.0093
33.0,Arkansas,AR,3011524,0.0091
34.0,Mississippi,MS,2961279,0.009
35.0,Kansas,KS,2937880,0.0088
36.0,New Mexico,NM,2117522,0.0063
37.0,Nebraska,NE,1961504,0.0058
38.0,Idaho,ID,1839106,0.0054
39.0,West Virginia,WV,1793716,0.0054
40.0,Hawaii,HI,1455271,0.0043
41.0,New Hampshire,NH,1377529,0.0041
42.0,Maine,ME,1362359,0.0041
43.0,Rhode Island,RI,1097379,0.0032
44.0,Montana,MT,1084225,0.0032
45.0,Delaware,DE,989948,0.0029
46.0,South Dakota,SD,886667,0.0027
47.0,North Dakota,ND,779094,0.0023
48.0,Alaska,AK,733391,0.0022
49.0,DC,DC,689545,0.0021
50.0,Vermont,VT,643077,0.0019
51.0,Wyoming,WY,576851,0.0017
,Total U.S.,Total,331449281,
