userId,movieId,tag,timestamp
3,9595b771f87f42a3b8dd07d91e7cb328,classic,1439472355
3,6aa0d26a483148998c250b9c80ddf550,sci-fi,1439472256
4,f24327f2b05147b197ca34bf13ae3524,dark comedy,1573943598
4,ae916bc4844a4bb7b42b70d9573d05cd,great dialogue,1573943604
4,f24327f2b05147b197ca34bf13ae3524,so bad it's good,1573943455
4,d4a325ab648a42c4a2d6f35dfabb387f,tense,1573943077
4,ae916bc4844a4bb7b42b70d9573d05cd,artificial intelligence,1573942979
4,ae916bc4844a4bb7b42b70d9573d05cd,philosophical,1573943033
4,c1f0a868aeb44c5ea8d154ec3ca295ac,tense,1573943042
4,22d20c2ba11d44cab83aceea39dc00bd,so bad it's good,1573942965
4,8cf4d0c1bd7b41fab6af9d92c892141f,cliche,1573943721
4,2bb29b3a245e434fa80542e711fd2cee,musical,1573943714
4,60ebe74947234ddcab49dea1a958faed,horror,1573945163
4,2bb29b3a245e434fa80542e711fd2cee,unpredictable,1573945171
19,9b30aff7943f44579e92c261f3adc193,Oscar (Best Supporting Actress),1446909853
19,43d02fb064514ff3bd30d1e3a7398357,adventure,1445286141
19,f44ceb4771504342bb856d76c112d5a6,fantasy,1445286144
19,c1f0a868aeb44c5ea8d154ec3ca295ac,post-apocalyptic,1445286136
20,2a1ba1fc5caf492a80188e032995843e,bah,1155082282
84,f24327f2b05147b197ca34bf13ae3524,documentary,1549387432
87,c1f0a868aeb44c5ea8d154ec3ca295ac,sci-fi,1542308464
87,ae916bc4844a4bb7b42b70d9573d05cd,android(s)/cyborg(s),1542309549
87,c1f0a868aeb44c5ea8d154ec3ca295ac,apocalypse,1542309703
87,ae916bc4844a4bb7b42b70d9573d05cd,artificial intelligence,1542309599
87,ee28d7e69103485c83e10b8055ef15fb,franchise,1542309536
87,ee28d7e69103485c83e10b8055ef15fb,sci-fi,1542308408
87,ee28d7e69103485c83e10b8055ef15fb,science fiction,1542308395
87,eace16e59ce24eff90bf8924eb6a926c,bad science,1522676752
87,ae916bc4844a4bb7b42b70d9573d05cd,philosophical issues,1522676687
87,6aa0d26a483148998c250b9c80ddf550,sci-fi,1522676660
87,6aa0d26a483148998c250b9c80ddf550,science fiction,1522676703
87,6aa0d26a483148998c250b9c80ddf550,space,1522676664
87,c1f0a868aeb44c5ea8d154ec3ca295ac,space travel,1522676685
87,c1f0a868aeb44c5ea8d154ec3ca295ac,visually appealing,1522676682
91,aa9fc400e068443488b259ea0802a975,quirky,1415914797
91,8cf4d0c1bd7b41fab6af9d92c892141f,romantic,1415131173
91,ae916bc4844a4bb7b42b70d9573d05cd,thought-provoking,1415131203
91,f44ceb4771504342bb856d76c112d5a6,based on book,1414248543
